STS回单设置XTSZ012数据映射设置;数据映射设置保存;voucherStyleP001UsingPOST;/sts/sdm/voucherstyle/P001;POST;BODY
STS回单设置XTSZ012数据映射设置;数据映射设置删除;voucherStyleP002UsingDELETE;/sts/sdm/voucherstyle/P002;DELETE;BODY
STS回单设置XTSZ012数据映射设置;数据映射设置查询;voucherStyleQ001UsingGET;/sts/sdm/voucherstyle/Q001;GET;QUERY
STS网银设置XTSZ008客户账户权限设置;客户账户权限设置保存;accountPermissionP001UsingPOST;/sts/wcl/accountpermission/P001;POST;BODY
STS网银设置XTSZ008客户账户权限设置;客户账户权限设置删除;accountPermissionP002UsingPOST;/sts/wcl/accountpermission/P002;POST;BODY
STS网银设置XTSZ008客户账户权限设置;客户账户权限设置查询;accountPermissionQ001UsingPOST;/sts/wcl/accountpermission/Q001;POST;BODY
STS网银设置XTSZ008客户账户权限设置;查询用户可选择的账号;accountPermissionQ002UsingPOST;/sts/wcl/accountpermission/Q002;POST;BODY
STS网银设置XTSZ004网银业务启动范围;网银业务启用范围保存;bizTypeInstallP001UsingPOST;/sts/wcl/biztypeinstall/P001;POST;BODY
STS网银设置XTSZ004网银业务启动范围;网银业务启用范围列表查询;bizTypeInstallQ001UsingPOST;/sts/wcl/biztypeinstall/Q001;POST;BODY
STS网银设置XTSZ009往来单位设置;往来单位保存;cltInfoQryP001UsingPOST;/sts/wcl/cltinfoqry/P001;POST;BODY
STS网银设置XTSZ009往来单位设置;删除往来单位;cltInfoQryP002UsingPOST;/sts/wcl/cltinfoqry/P002;POST;BODY
STS网银设置XTSZ009往来单位设置;往来单位账户保存;cltInfoQryP003UsingPOST;/sts/wcl/cltinfoqry/P003;POST;BODY
STS网银设置XTSZ009往来单位设置;删除往来单位账户;cltInfoQryP004UsingPOST;/sts/wcl/cltinfoqry/P004;POST;BODY
STS网银设置XTSZ009往来单位设置;往来单位设置简称下拉列表;cltInfoQryQ001UsingPOST;/sts/wcl/cltinfoqry/Q001;POST;BODY
STS网银设置XTSZ009往来单位设置;往来单位列表查询筛选;cltInfoQryQ002UsingPOST;/sts/wcl/cltinfoqry/Q002;POST;BODY
STS网银设置XTSZ009往来单位设置;往来单位筛选条件查询框;cltInfoQryQ003UsingPOST;/sts/wcl/cltinfoqry/Q003;POST;BODY
